Time (s),Upstream (V),Downstream (V)
20,0.26992,0.15003
20.033,0.26483,0.15385
20.067,0.26101,0.15003
20.1,0.27246,0.15385
20.133,0.27501,0.1513
20.167,0.27246,0.10546
20.2,0.26864,0.14239
20.233,0.26355,0.15767
20.267,0.26355,0.1513
20.3,0.27756,0.16149
20.333,0.2801,0.15894
20.367,0.26992,0.16022
20.4,0.26992,0.1564
20.433,0.27246,0.15767
20.467,0.26737,0.14494
20.5,0.25973,0.14748
20.533,0.26992,0.15767
20.567,0.26483,0.15258
20.6,0.27374,0.14366
20.633,0.27374,0.16658
20.667,0.27883,0.1564
20.7,0.27501,0.16022
20.733,0.27756,0.16149
20.767,0.27119,0.15003
20.8,0.27756,0.16022
20.833,0.26992,0.16149
20.867,0.26483,0.15894
20.9,0.25846,0.15003
20.933,0.25209,0.15385
20.967,0.24827,0.1513
21,0.23936,0.14876
21.033,0.25337,0.13602
21.067,0.25337,0.13602
21.1,0.25719,0.1322
21.133,0.25591,0.1373
21.167,0.25337,0.13857
21.2,0.26737,0.14239
21.233,0.27501,0.14494
21.267,0.26864,0.14112
21.3,0.2661,0.14366
21.333,0.27756,0.14621
21.367,0.26737,0.14876
21.4,0.27374,0.14112
21.433,0.27246,0.14621
21.467,0.27119,0.14748
21.5,0.26737,0.14494
21.533,0.27374,0.13348
21.567,0.27628,0.14494
21.6,0.26864,0.14494
21.633,0.26737,0.14876
21.667,0.26228,0.15258
21.7,0.27119,0.15003
21.733,0.27501,0.13857
21.767,0.25591,0.1564
21.8,0.247,0.14621
21.833,0.24955,0.1564
21.867,0.24955,0.1564
21.9,0.25209,0.14621
21.933,0.24955,0.15385
21.967,0.25591,0.15385
22,0.26355,0.14876
22.033,0.25719,0.16658
22.067,0.27119,0.1373
22.1,0.25591,0.1564
22.133,0.26864,0.16022
22.167,0.25973,0.15767
22.2,0.26101,0.14748
22.233,0.26101,0.15258
22.267,0.25846,0.1513
22.3,0.26101,0.13984
22.333,0.25846,0.1513
22.367,0.25591,0.15258
22.4,0.247,0.14621
22.433,0.24573,0.14621
22.467,0.24318,0.1513
22.5,0.25464,0.13602
22.533,0.25337,0.1513
22.567,0.26355,0.15003
22.6,0.25846,0.14366
22.633,0.26101,0.14621
22.667,0.26228,0.13857
22.7,0.25591,0.14621
22.733,0.26864,0.14621
22.767,0.26355,0.14621
22.8,0.25973,0.14112
22.833,0.25209,0.14876
22.867,0.26483,0.15894
22.9,0.26228,0.14112
22.933,0.25973,0.14621
22.967,0.25209,0.15003
